站号,日,气温
0,01 00:00:00,0
0,01 01:00:00,0
0,01 02:00:00,0
0,01 03:00:00,0
0,01 04:00:00,0
0,01 05:00:00,0
0,01 06:00:00,0
0,01 07:00:00,0
0,01 08:00:00,0
0,01 09:00:00,0
0,01 10:00:00,0
0,01 11:00:00,0
0,01 12:00:00,0
0,01 13:00:00,0
0,01 14:00:00,0
0,01 15:00:00,0
0,01 16:00:00,0
0,01 17:00:00,0
0,01 18:00:00,0
0,01 19:00:00,0
0,01 20:00:00,0
0,01 21:00:00,0
0,01 22:00:00,0
0,01 23:00:00,0
0,02 00:00:00,0
0,02 01:00:00,0
0,02 02:00:00,0
0,02 03:00:00,0
0,02 04:00:00,0
0,02 05:00:00,0
0,02 06:00:00,0
0,02 07:00:00,0
0,02 08:00:00,0
0,02 09:00:00,0
0,02 10:00:00,0
0,02 11:00:00,0
0,02 12:00:00,0
0,02 13:00:00,0
0,02 14:00:00,0
0,02 15:00:00,0
0,02 16:00:00,0
0,02 17:00:00,0
0,02 18:00:00,0
0,02 19:00:00,0
0,02 20:00:00,0
0,02 21:00:00,0
0,02 22:00:00,0
0,02 23:00:00,0
0,03 00:00:00,0
0,03 01:00:00,0
0,03 02:00:00,0
0,03 03:00:00,0
0,03 04:00:00,0
0,03 05:00:00,0
0,03 06:00:00,0
0,03 07:00:00,0
0,03 08:00:00,0
0,03 09:00:00,0
0,03 10:00:00,0
0,03 11:00:00,0
0,03 12:00:00,0
0,03 13:00:00,0
0,03 14:00:00,0
0,03 15:00:00,0
0,03 16:00:00,0
0,03 17:00:00,0
0,03 18:00:00,0
0,03 19:00:00,0
0,03 20:00:00,0
0,03 21:00:00,0
0,03 22:00:00,0
0,03 23:00:00,0
0,04 00:00:00,0
0,04 01:00:00,0
0,04 02:00:00,0
0,04 03:00:00,0
0,04 04:00:00,0
0,04 05:00:00,0
0,04 06:00:00,0
0,04 07:00:00,0
0,04 08:00:00,0
0,04 09:00:00,0
0,04 10:00:00,0
0,04 11:00:00,0
0,04 12:00:00,0
0,04 13:00:00,0
0,04 14:00:00,0
0,04 15:00:00,0
0,04 16:00:00,0
0,04 17:00:00,0
0,04 18:00:00,0
0,04 19:00:00,0
0,04 20:00:00,0
0,04 21:00:00,0
0,04 22:00:00,0
0,04 23:00:00,0
0,05 00:00:00,0
0,05 01:00:00,0
0,05 02:00:00,0
0,05 03:00:00,0
0,05 04:00:00,0
0,05 05:00:00,0
0,05 06:00:00,0
0,05 07:00:00,0
0,05 08:00:00,0
0,05 09:00:00,0
0,05 10:00:00,0
0,05 11:00:00,0
0,05 12:00:00,0
0,05 13:00:00,0
0,05 14:00:00,0
0,05 15:00:00,0
0,05 16:00:00,0
0,05 17:00:00,0
0,05 18:00:00,0
0,05 19:00:00,0
0,05 20:00:00,0
0,05 21:00:00,0
0,05 22:00:00,0
0,05 23:00:00,0
0,06 00:00:00,0
0,06 01:00:00,0
0,06 02:00:00,0
0,06 03:00:00,0
0,06 04:00:00,0
0,06 05:00:00,0
0,06 06:00:00,0
0,06 07:00:00,0
0,06 08:00:00,0
0,06 09:00:00,0
0,06 10:00:00,0
0,06 11:00:00,0
0,06 12:00:00,0
0,06 13:00:00,0
0,06 14:00:00,0
0,06 15:00:00,0
0,06 16:00:00,0
